user_id,timestamp,ip_address,location,device_type,login_status,session_duration,access_resource,activity_count
USR002,2025-03-27 15:43:07,180.244.192.212,"Medan, Indonesia",mobile,success,26.27,API,99
USR024,2025-03-31 09:20:34,103.28.243.175,"Surabaya, Indonesia",tablet,success,20.28,API,28
USR028,2025-01-02 13:52:23,36.68.154.230,"Surabaya, Indonesia",mobile,success,9.6,dashboard,17
USR036,2025-02-01 17:33:10,103.28.86.36,"Medan, Indonesia",tablet,success,19.76,dashboard,31
USR039,2025-03-15 16:11:29,182.1.184.239,"Yogyakarta, Indonesia",mobile,success,47.27,dashboard,58
USR024,2025-01-08 15:54:36,114.121.188.41,"Surabaya, Indonesia",tablet,success,10.66,API,24
USR015,2025-03-08 17:50:35,103.28.236.88,"Semarang, Indonesia",desktop,success,22.22,dashboard,99
USR026,2025-01-07 17:35:12,180.244.147.19,"Makassar, Indonesia",tablet,success,29.77,API,89
USR016,2025-01-26 09:01:26,36.68.7.87,"Medan, Indonesia",mobile,success,42.4,dashboard,22
USR024,2025-02-27 17:43:42,103.28.211.170,"Surabaya, Indonesia",tablet,success,59.24,database,51
USR029,2025-01-23 16:46:37,180.244.49.60,"Yogyakarta, Indonesia",desktop,success,24.87,admin_panel,599
USR008,2025-03-12 02:22:00,103.28.108.39,"Yogyakarta, Indonesia",mobile,success,13.49,API,117
USR016,2025-03-06 17:04:06,182.1.7.136,"Medan, Indonesia",mobile,success,15.54,dashboard,78
USR009,2025-03-31 08:10:31,180.244.132.43,"Jakarta, Indonesia",tablet,success,46.24,API,25
USR010,2025-03-25 11:27:53,182.1.97.23,"Yogyakarta, Indonesia",tablet,success,30.49,API,12
USR023,2025-02-23 08:35:15,114.121.60.253,"Surabaya, Indonesia",desktop,success,10.26,dashboard,79
USR001,2025-03-12 13:12:26,182.1.223.102,"Surabaya, Indonesia",mobile,success,44.32,API,58
USR020,2025-01-08 17:34:12,103.28.216.82,"Makassar, Indonesia",desktop,success,48.86,admin_panel,26
USR013,2025-02-28 09:08:19,36.68.202.86,"Medan, Indonesia",mobile,success,25.89,API,66
USR024,2025-01-15 12:36:14,103.28.13.156,"Surabaya, Indonesia",tablet,failed,50.62,dashboard,33
USR017,2025-03-05 10:14:40,104.244.75.224,"Yogyakarta, Indonesia",mobile,success,13.14,dashboard,67
USR037,2025-03-22 16:46:26,172.111.62.217,"Surabaya, Indonesia",mobile,success,26.25,database,101
USR003,2025-01-18 08:23:49,198.96.36.88,"Yogyakarta, Indonesia",desktop,success,28.88,database,68
USR023,2025-03-18 08:49:19,114.121.179.158,"Surabaya, Indonesia",desktop,success,49.15,API,66
USR020,2025-01-21 10:52:25,182.1.96.18,"Makassar, Indonesia",desktop,success,28.45,API,92
USR020,2025-01-02 16:08:17,36.68.27.142,"Makassar, Indonesia",desktop,success,56.92,API,72
USR015,2025-02-27 13:25:29,182.1.77.89,"Semarang, Indonesia",desktop,failed,31.55,dashboard,20
USR035,2025-03-15 15:30:35,114.121.28.101,"Yogyakarta, Indonesia",tablet,success,37.51,dashboard,96
USR036,2025-01-09 16:45:49,114.121.70.252,"Medan, Indonesia",tablet,success,34.68,API,84
USR031,2025-02-04 17:25:40,182.1.18.54,"Surabaya, Indonesia",desktop,success,16.17,API,60
USR019,2025-01-30 16:32:10,114.121.48.26,"Semarang, Indonesia",mobile,success,9.01,database,33
USR012,2025-03-06 10:00:25,103.28.232.142,"Bali, Indonesia",tablet,success,19.19,API,49
USR035,2025-02-11 14:37:40,36.68.158.179,"Yogyakarta, Indonesia",tablet,success,57.44,dashboard,41
USR019,2025-01-02 13:44:51,36.68.156.116,"Semarang, Indonesia",mobile,success,23.25,API,37
USR002,2025-02-03 10:37:03,114.121.163.119,"Medan, Indonesia",mobile,success,12.45,dashboard,44
USR005,2025-03-02 08:18:26,114.121.69.197,"Surabaya, Indonesia",tablet,success,45.11,database,57
USR036,2025-02-10 16:40:13,114.121.107.160,"Medan, Indonesia",tablet,success,42.76,admin_panel,26
USR002,2025-03-15 14:30:00,180.244.152.193,"Medan, Indonesia",mobile,success,54.04,API,78
USR004,2025-02-10 15:35:26,36.68.247.8,"Surabaya, Indonesia",tablet,success,17.86,API,44
USR038,2025-01-16 14:50:15,36.68.21.149,"Bandung, Indonesia",tablet,success,31.14,API,57
USR021,2025-01-12 16:29:00,180.244.102.75,"Medan, Indonesia",mobile,success,21.72,API,69
USR007,2025-03-03 17:41:48,114.121.83.116,"Jakarta, Indonesia",mobile,success,51.52,dashboard,50
USR010,2025-03-14 15:21:44,36.68.245.231,"Yogyakarta, Indonesia",tablet,success,42.29,dashboard,13
USR013,2025-01-09 03:27:00,114.121.157.244,"Medan, Indonesia",mobile,failed,19.8,dashboard,32
USR018,2025-02-07 14:10:35,114.121.250.152,"Surabaya, Indonesia",mobile,failed,0.26,API,7
USR029,2025-02-22 11:36:56,114.121.105.200,"Yogyakarta, Indonesia",desktop,success,41.26,admin_panel,765
USR013,2025-02-19 15:06:15,103.28.183.148,"Medan, Indonesia",mobile,success,43.46,dashboard,94
USR010,2025-01-02 10:33:18,180.244.248.106,"Yogyakarta, Indonesia",tablet,success,55.09,dashboard,29
USR012,2025-01-16 10:12:00,182.1.129.4,"Bali, Indonesia",tablet,success,52.05,API,10
USR022,2025-03-21 10:38:24,114.121.83.47,"Bali, Indonesia",tablet,success,47.41,API,31
USR033,2025-02-08 14:42:34,180.244.102.107,"Makassar, Indonesia",mobile,success,39.37,API,80
USR020,2025-01-19 15:58:03,182.1.211.248,"Makassar, Indonesia",desktop,success,34.15,dashboard,42
USR030,2025-03-03 16:40:34,114.121.190.133,"Surabaya, Indonesia",mobile,failed,0.56,database,8
USR019,2025-02-11 09:00:31,103.28.89.34,"Semarang, Indonesia",mobile,success,43.7,API,95
USR007,2025-01-01 11:18:53,180.244.61.143,"Jakarta, Indonesia",mobile,success,0.81,admin_panel,3
USR019,2025-03-10 08:54:06,103.28.68.226,"Semarang, Indonesia",mobile,success,25.12,dashboard,15
USR032,2025-02-24 11:26:44,180.244.186.219,"Medan, Indonesia",desktop,success,29.79,API,83
USR031,2025-02-14 12:44:23,114.121.226.228,"Surabaya, Indonesia",desktop,failed,33.77,database,32
USR020,2025-02-21 13:28:57,182.1.231.31,"Makassar, Indonesia",desktop,success,8.52,dashboard,80
USR009,2025-03-26 15:35:10,180.244.216.247,"Jakarta, Indonesia",tablet,success,34.66,API,35
USR038,2025-02-01 11:16:51,180.244.47.147,"Bandung, Indonesia",tablet,success,55.48,API,51
USR019,2025-02-05 15:28:14,114.121.147.241,"Semarang, Indonesia",mobile,success,55.88,dashboard,975
USR028,2025-01-17 03:46:00,114.121.206.232,"Surabaya, Indonesia",mobile,success,5.59,dashboard,186
USR033,2025-03-23 11:32:37,36.68.119.6,"Makassar, Indonesia",mobile,success,54.32,dashboard,64
USR037,2025-03-02 12:02:59,36.68.143.231,"Surabaya, Indonesia",tablet,success,41.2,dashboard,50
USR039,2025-01-13 10:18:07,182.1.200.44,"Yogyakarta, Indonesia",mobile,success,47.0,API,29
USR029,2025-02-17 10:16:50,114.121.248.47,"Yogyakarta, Indonesia",desktop,success,52.41,dashboard,20
USR038,2025-03-07 09:09:57,36.68.189.173,"Bandung, Indonesia",tablet,success,42.47,database,1157
USR003,2025-01-27 14:33:17,182.1.160.26,"Yogyakarta, Indonesia",mobile,success,27.37,API,743
USR008,2025-01-27 09:11:55,182.1.92.2,"Yogyakarta, Indonesia",mobile,success,49.03,dashboard,26
USR018,2025-01-25 17:18:58,104.244.168.63,"Surabaya, Indonesia",tablet,success,13.08,admin_panel,49
USR014,2025-02-12 09:59:28,180.244.47.138,"Bandung, Indonesia",tablet,success,15.48,dashboard,96
USR006,2025-02-09 16:24:41,180.244.65.172,"Semarang, Indonesia",mobile,success,57.09,database,77
USR030,2025-03-03 16:42:44,114.121.76.121,"Surabaya, Indonesia",mobile,success,0.11,dashboard,5
USR034,2025-03-11 12:13:05,182.1.159.134,"Makassar, Indonesia",desktop,success,39.96,dashboard,79
USR008,2025-01-22 10:47:44,103.28.248.121,"Yogyakarta, Indonesia",mobile,success,29.72,dashboard,47
USR029,2025-01-08 15:08:32,103.28.233.145,"Yogyakarta, Indonesia",desktop,success,30.43,API,12
USR018,2025-01-31 02:34:00,36.68.141.58,"Surabaya, Indonesia",mobile,failed,21.29,API,105
USR032,2025-02-28 15:36:02,36.68.147.166,"Medan, Indonesia",desktop,success,30.1,API,48
USR007,2025-01-17 02:58:00,180.244.197.250,"Jakarta, Indonesia",mobile,success,18.99,dashboard,107
USR039,2025-03-30 13:54:37,182.1.171.158,"Yogyakarta, Indonesia",mobile,success,23.07,dashboard,15
USR012,2025-01-17 09:24:42,182.1.164.130,"Bali, Indonesia",tablet,success,28.03,API,98
USR006,2025-02-13 17:59:12,36.68.188.33,"Semarang, Indonesia",mobile,success,57.47,API,10
USR038,2025-03-07 13:08:39,182.1.150.14,"Bandung, Indonesia",tablet,success,19.37,database,13
USR030,2025-01-29 08:50:00,114.121.134.77,"Surabaya, Indonesia",mobile,failed,50.88,API,93
USR033,2025-03-16 02:42:00,180.244.215.55,"Makassar, Indonesia",mobile,success,14.18,API,55
USR036,2025-03-10 12:47:37,103.28.204.93,"Medan, Indonesia",tablet,success,59.86,API,21
USR030,2025-01-18 14:11:50,180.244.237.181,"Surabaya, Indonesia",mobile,success,52.32,dashboard,98
USR027,2025-03-22 15:47:53,103.28.148.194,"Yogyakarta, Indonesia",tablet,success,33.86,API,876
USR017,2025-03-24 11:29:18,180.244.237.13,"Yogyakarta, Indonesia",desktop,success,14.61,dashboard,47
USR029,2025-03-27 02:33:00,182.1.123.148,"Yogyakarta, Indonesia",desktop,success,15.21,dashboard,192
USR003,2025-02-07 10:58:37,104.244.54.156,"Yogyakarta, Indonesia",desktop,success,33.28,admin_panel,75
USR006,2025-01-17 10:00:12,36.68.8.179,"Semarang, Indonesia",mobile,failed,52.25,dashboard,93
USR027,2025-02-24 10:01:18,103.28.61.145,"Yogyakarta, Indonesia",tablet,success,10.96,database,7
USR020,2025-02-20 09:58:53,103.28.192.247,"Makassar, Indonesia",desktop,success,12.85,admin_panel,41
USR011,2025-02-12 13:57:28,182.1.137.225,"Semarang, Indonesia",mobile,success,25.49,dashboard,24
USR020,2025-01-26 13:56:03,114.121.57.61,"Makassar, Indonesia",desktop,success,22.85,dashboard,45
USR019,2025-02-26 16:22:14,182.1.21.120,"Semarang, Indonesia",mobile,success,23.5,API,65
USR037,2025-03-28 17:36:11,36.68.65.191,"Surabaya, Indonesia",tablet,success,19.28,API,39
USR035,2025-02-27 08:02:21,36.68.172.202,"Yogyakarta, Indonesia",tablet,success,27.3,dashboard,93
USR017,2025-01-11 15:01:47,182.1.26.244,"Yogyakarta, Indonesia",desktop,success,40.76,API,93
USR016,2025-03-01 17:39:42,103.28.172.8,"Medan, Indonesia",mobile,success,22.88,API,55
USR015,2025-02-18 14:08:06,36.68.103.134,"Semarang, Indonesia",desktop,success,32.74,dashboard,29
USR034,2025-03-06 12:53:10,180.244.246.248,"Makassar, Indonesia",desktop,success,46.06,dashboard,24
USR003,2025-02-22 08:59:17,103.28.113.191,"Yogyakarta, Indonesia",mobile,success,16.16,dashboard,32
USR004,2025-03-23 10:13:08,36.68.88.152,"Surabaya, Indonesia",tablet,success,48.74,dashboard,74
USR013,2025-03-08 13:43:44,114.121.160.141,"Medan, Indonesia",mobile,success,5.47,dashboard,62
USR009,2025-02-18 16:47:15,36.68.167.133,"Jakarta, Indonesia",tablet,success,50.26,dashboard,22
USR014,2025-02-04 16:08:59,180.244.224.226,"Bandung, Indonesia",tablet,success,11.68,database,87
USR018,2025-03-15 13:22:05,36.68.91.182,"Surabaya, Indonesia",mobile,success,19.19,API,42
USR004,2025-03-18 11:38:40,36.68.61.23,"Surabaya, Indonesia",tablet,success,12.14,API,92
USR007,2025-03-25 13:50:09,114.121.19.74,"Jakarta, Indonesia",mobile,success,30.99,API,100
USR006,2025-02-17 10:03:25,180.244.119.110,"Semarang, Indonesia",mobile,success,43.7,dashboard,71
USR011,2025-01-10 12:39:57,180.244.227.13,"Semarang, Indonesia",mobile,success,30.89,API,23
USR022,2025-02-24 17:47:00,103.28.245.75,"Bali, Indonesia",tablet,success,9.54,dashboard,89
USR015,2025-03-18 17:00:29,103.28.237.204,"Semarang, Indonesia",desktop,success,39.11,dashboard,93
USR010,2025-02-09 16:55:51,36.68.255.25,"Yogyakarta, Indonesia",tablet,success,14.33,dashboard,18
USR036,2025-03-17 09:15:48,182.1.64.78,"Medan, Indonesia",tablet,success,29.53,API,74
USR030,2025-03-31 15:40:11,114.121.32.184,"Surabaya, Indonesia",mobile,success,30.17,dashboard,15
USR023,2025-01-15 12:55:01,114.121.221.180,"Surabaya, Indonesia",desktop,success,39.39,API,61
USR025,2025-01-19 11:02:36,36.68.97.5,"Medan, Indonesia",tablet,success,28.03,dashboard,36
USR001,2025-01-14 14:14:11,182.1.237.13,"Surabaya, Indonesia",mobile,success,55.46,dashboard,27
USR029,2025-03-17 17:20:26,114.121.166.59,"Yogyakarta, Indonesia",desktop,success,22.94,dashboard,62
USR038,2025-03-02 15:17:00,103.28.126.64,"Bandung, Indonesia",tablet,success,36.87,API,85
USR027,2025-01-05 02:01:00,114.121.191.216,"Yogyakarta, Indonesia",tablet,failed,24.78,API,90
USR028,2025-02-14 11:12:40,114.121.35.88,"Surabaya, Indonesia",mobile,success,31.16,API,69
USR002,2025-03-18 15:16:41,182.1.116.185,"Medan, Indonesia",mobile,success,31.42,API,89
USR025,2025-02-15 11:11:27,182.1.3.148,"Medan, Indonesia",tablet,success,45.2,API,44
USR007,2025-03-29 17:49:52,103.28.167.127,"Jakarta, Indonesia",mobile,success,8.38,dashboard,27
USR006,2025-02-15 16:05:38,182.1.166.222,"Semarang, Indonesia",mobile,success,21.05,dashboard,20
USR030,2025-02-05 11:00:09,103.28.32.212,"Surabaya, Indonesia",mobile,success,49.42,API,82
USR007,2025-03-08 09:18:05,114.121.139.116,"Jakarta, Indonesia",mobile,success,13.1,dashboard,38
USR035,2025-01-29 08:24:44,103.28.62.146,"Yogyakarta, Indonesia",tablet,success,59.54,dashboard,48
USR025,2025-03-10 10:44:27,180.244.199.211,"Medan, Indonesia",tablet,success,5.15,dashboard,60
USR006,2025-03-01 14:17:40,103.28.188.3,"Semarang, Indonesia",mobile,success,9.55,API,95
USR004,2025-02-21 17:27:38,180.244.76.23,"Surabaya, Indonesia",tablet,failed,14.36,API,11
USR003,2025-02-17 17:35:09,103.28.65.11,"Yogyakarta, Indonesia",mobile,success,54.44,API,15
USR011,2025-02-18 08:24:16,103.28.146.109,"Semarang, Indonesia",mobile,success,45.18,API,94
USR014,2025-03-05 14:48:35,36.68.188.20,"Bandung, Indonesia",tablet,success,32.74,API,62
USR035,2025-01-11 03:01:00,114.121.232.163,"Yogyakarta, Indonesia",tablet,success,11.39,dashboard,61
USR022,2025-02-04 10:55:51,114.121.140.3,"Bali, Indonesia",tablet,success,58.87,dashboard,23
USR035,2025-02-03 17:43:28,182.1.63.111,"Yogyakarta, Indonesia",tablet,success,5.36,admin_panel,16
USR008,2025-03-13 14:38:38,182.1.115.199,"Yogyakarta, Indonesia",mobile,success,29.78,dashboard,85
USR011,2025-03-15 08:42:18,182.1.13.74,"Semarang, Indonesia",mobile,success,11.98,dashboard,45
USR005,2025-01-15 17:27:46,180.244.74.24,"Surabaya, Indonesia",tablet,success,12.01,API,55
USR019,2025-01-17 10:46:00,182.1.200.218,"Semarang, Indonesia",mobile,failed,58.09,dashboard,87
USR007,2025-03-31 16:39:11,114.121.76.59,"Jakarta, Indonesia",mobile,success,27.07,dashboard,34
USR021,2025-01-09 09:24:35,103.28.166.220,"Medan, Indonesia",mobile,success,30.2,API,99
USR039,2025-02-24 10:44:28,180.244.228.11,"Yogyakarta, Indonesia",mobile,success,55.14,API,65
USR010,2025-01-31 09:09:16,114.121.88.155,"Yogyakarta, Indonesia",tablet,success,46.75,dashboard,90
USR002,2025-02-18 14:28:02,104.244.105.98,"Medan, Indonesia",desktop,success,28.1,dashboard,98
USR019,2025-03-06 16:34:41,36.68.141.238,"Semarang, Indonesia",mobile,success,11.52,dashboard,79
USR008,2025-01-09 14:31:04,182.1.27.39,"Yogyakarta, Indonesia",mobile,success,35.96,dashboard,41
USR028,2025-03-15 17:49:33,198.96.83.246,"Surabaya, Indonesia",tablet,success,21.36,API,53
USR014,2025-03-31 18:14:57,91.108.53.128,"Amsterdam, Netherlands",tablet,success,7.75,dashboard,61
USR017,2025-01-14 09:21:10,103.28.82.188,"Yogyakarta, Indonesia",desktop,success,56.8,database,53
USR018,2025-03-31 12:58:21,180.244.3.47,"Surabaya, Indonesia",mobile,success,36.15,dashboard,28
USR007,2025-01-04 11:10:40,180.244.41.122,"Jakarta, Indonesia",mobile,success,21.96,dashboard,72
USR035,2025-01-25 08:31:53,36.68.189.53,"Yogyakarta, Indonesia",tablet,success,24.09,database,2000
USR003,2025-01-17 11:49:05,180.244.73.241,"Yogyakarta, Indonesia",mobile,success,5.74,database,23
USR018,2025-03-26 12:50:41,172.111.6.32,"Surabaya, Indonesia",tablet,success,24.9,admin_panel,87
USR009,2025-03-03 16:12:31,103.28.100.144,"Jakarta, Indonesia",tablet,success,45.46,dashboard,19
USR037,2025-02-23 10:42:42,36.68.184.18,"Surabaya, Indonesia",tablet,failed,34.92,API,74
USR020,2025-01-04 09:14:08,114.121.116.79,"Makassar, Indonesia",desktop,success,12.16,dashboard,98
USR015,2025-03-28 10:19:40,180.244.3.207,"Semarang, Indonesia",desktop,success,13.15,admin_panel,12
USR014,2025-02-09 14:52:45,103.28.81.155,"Bandung, Indonesia",tablet,success,22.07,dashboard,97
USR026,2025-03-27 08:29:51,182.1.235.215,"Makassar, Indonesia",tablet,success,3.25,admin_panel,22
USR039,2025-01-31 14:15:07,114.121.98.8,"Yogyakarta, Indonesia",mobile,success,50.5,API,81
USR015,2025-03-24 14:17:53,180.244.68.174,"Semarang, Indonesia",desktop,success,53.28,API,55
USR020,2025-01-02 13:48:18,103.28.99.81,"Makassar, Indonesia",desktop,success,44.91,database,99
USR020,2025-02-16 14:16:09,180.244.5.1,"Makassar, Indonesia",desktop,success,46.71,dashboard,46
USR034,2025-03-29 08:06:58,182.1.181.245,"Makassar, Indonesia",desktop,success,38.58,API,44
USR012,2025-02-02 14:29:19,103.28.145.97,"Bali, Indonesia",tablet,success,31.45,dashboard,70
USR009,2025-03-06 17:30:45,180.244.94.219,"Jakarta, Indonesia",tablet,success,31.06,dashboard,38
USR035,2025-03-03 15:27:52,182.1.137.83,"Yogyakarta, Indonesia",tablet,success,50.69,dashboard,67
USR022,2025-03-01 08:06:33,180.244.11.148,"Bali, Indonesia",tablet,success,40.14,dashboard,35
USR031,2025-03-04 10:33:06,36.68.160.25,"Surabaya, Indonesia",desktop,failed,0.78,admin_panel,4
USR022,2025-03-25 09:14:22,114.121.157.108,"Bali, Indonesia",tablet,success,23.22,dashboard,47
USR018,2025-03-15 08:48:48,114.121.240.133,"Surabaya, Indonesia",mobile,success,55.38,dashboard,84
USR005,2025-03-24 13:24:58,103.28.223.207,"Surabaya, Indonesia",tablet,success,19.25,dashboard,24
USR007,2025-03-23 10:05:18,36.68.193.32,"Jakarta, Indonesia",mobile,success,23.82,API,71
USR032,2025-01-14 03:13:00,182.1.160.195,"Medan, Indonesia",desktop,failed,21.55,admin_panel,134
USR021,2025-03-15 17:49:43,180.244.121.78,"Medan, Indonesia",mobile,success,59.21,API,62
USR026,2025-01-28 14:52:13,103.28.137.83,"Makassar, Indonesia",tablet,success,23.58,API,82
USR013,2025-01-03 09:34:54,103.28.44.250,"Medan, Indonesia",mobile,success,15.69,dashboard,87
USR034,2025-02-08 15:41:01,36.68.245.217,"Makassar, Indonesia",desktop,success,42.74,API,66
USR039,2025-02-23 15:11:28,180.244.239.129,"Yogyakarta, Indonesia",mobile,success,57.39,API,39
USR035,2025-03-09 02:21:00,36.68.35.121,"Yogyakarta, Indonesia",tablet,success,24.27,admin_panel,75
USR004,2025-01-21 09:26:58,182.1.247.206,"Surabaya, Indonesia",tablet,success,29.1,API,55
USR003,2025-03-09 11:52:57,62.210.101.90,"Paris, France",mobile,success,9.48,database,65
USR009,2025-02-08 15:49:52,180.244.137.187,"Jakarta, Indonesia",tablet,success,40.51,dashboard,37
USR024,2025-02-23 16:58:30,182.1.111.196,"Surabaya, Indonesia",tablet,success,46.51,API,20
USR035,2025-03-16 12:39:03,180.244.5.121,"Yogyakarta, Indonesia",tablet,success,54.83,API,52
USR036,2025-01-03 14:55:30,36.68.198.252,"Medan, Indonesia",tablet,success,46.1,dashboard,18
USR015,2025-02-03 09:27:40,114.121.139.73,"Semarang, Indonesia",desktop,success,34.26,dashboard,34
USR031,2025-01-02 10:26:31,114.121.161.202,"Surabaya, Indonesia",desktop,success,18.8,API,16
USR033,2025-02-26 17:20:02,172.111.116.16,"Makassar, Indonesia",tablet,success,39.13,dashboard,110
USR018,2025-03-21 16:52:52,114.121.25.48,"Surabaya, Indonesia",mobile,success,40.93,dashboard,14
USR032,2025-02-16 02:25:00,36.68.251.204,"Medan, Indonesia",desktop,success,3.13,database,24
USR011,2025-03-31 12:32:04,180.244.215.155,"Semarang, Indonesia",mobile,success,35.13,dashboard,98
USR031,2025-03-24 14:19:36,114.121.50.84,"Surabaya, Indonesia",desktop,success,54.99,API,33
USR006,2025-02-06 15:24:25,36.68.242.41,"Semarang, Indonesia",mobile,success,12.5,dashboard,79
USR002,2025-01-07 10:40:28,114.121.1.103,"Medan, Indonesia",mobile,success,21.81,API,24
USR027,2025-02-17 15:20:17,103.28.12.46,"Yogyakarta, Indonesia",tablet,success,19.61,dashboard,20
USR011,2025-03-04 14:08:19,103.28.249.196,"Semarang, Indonesia",mobile,success,42.13,API,97
USR024,2025-03-28 12:37:24,180.244.55.173,"Surabaya, Indonesia",tablet,success,6.38,API,81
USR025,2025-01-25 17:32:47,114.121.35.71,"Medan, Indonesia",tablet,success,51.99,dashboard,74
USR021,2025-02-06 14:29:34,180.244.157.67,"Medan, Indonesia",mobile,success,53.55,API,70
USR040,2025-03-03 15:01:00,182.1.210.4,"Bali, Indonesia",desktop,success,44.72,API,46
USR026,2025-03-10 16:59:58,103.28.18.203,"Makassar, Indonesia",tablet,failed,43.59,API,86
USR024,2025-01-12 14:54:06,114.121.223.151,"Surabaya, Indonesia",tablet,success,9.33,API,53
USR001,2025-03-27 09:58:07,182.1.252.39,"Surabaya, Indonesia",mobile,failed,47.87,dashboard,22
USR031,2025-03-04 10:32:35,114.121.42.108,"Surabaya, Indonesia",desktop,failed,0.76,dashboard,1
USR033,2025-03-26 16:16:08,180.244.178.150,"Makassar, Indonesia",mobile,success,16.2,database,9
USR037,2025-02-06 15:07:29,180.244.206.242,"Surabaya, Indonesia",tablet,success,34.7,dashboard,86
USR010,2025-01-07 14:28:48,182.1.46.57,"Yogyakarta, Indonesia",tablet,success,48.25,dashboard,53
USR026,2025-02-02 08:47:13,182.1.37.12,"Makassar, Indonesia",tablet,success,43.52,API,17
USR023,2025-01-12 11:55:18,114.121.86.192,"Surabaya, Indonesia",desktop,success,20.0,API,84
USR025,2025-02-27 14:24:05,182.1.68.168,"Medan, Indonesia",tablet,success,11.52,database,60
USR018,2025-03-23 08:04:42,103.28.186.132,"Surabaya, Indonesia",mobile,success,42.37,database,28
USR010,2025-03-27 12:39:52,180.244.178.225,"Yogyakarta, Indonesia",tablet,success,55.39,API,43
USR015,2025-02-12 10:04:32,36.68.99.232,"Semarang, Indonesia",desktop,success,24.31,database,92
USR012,2025-03-13 10:31:18,114.121.95.81,"Bali, Indonesia",tablet,success,39.07,API,11
USR020,2025-01-30 11:47:18,103.28.64.34,"Makassar, Indonesia",desktop,success,14.38,dashboard,55
USR027,2025-03-01 08:58:35,36.68.215.23,"Yogyakarta, Indonesia",tablet,success,19.38,database,20
USR007,2025-01-01 11:13:05,182.1.75.37,"Jakarta, Indonesia",mobile,failed,0.19,dashboard,6
USR023,2025-02-18 14:13:32,114.121.208.29,"Surabaya, Indonesia",desktop,success,22.29,API,76
USR037,2025-03-22 02:07:00,180.244.177.124,"Surabaya, Indonesia",tablet,failed,18.4,dashboard,138
USR023,2025-03-02 17:00:31,114.121.241.29,"Surabaya, Indonesia",desktop,success,3.04,admin_panel,41
USR021,2025-02-09 16:44:07,180.244.244.162,"Medan, Indonesia",mobile,success,32.23,API,58
USR002,2025-02-06 02:41:00,182.1.2.234,"Medan, Indonesia",mobile,success,4.8,database,14
